Title,Audio Dir,Published at,ID,Source URL
【LNG】2023MAR 硬性龜定 我ㄘ PITA,audio_files/s1e-lwWIxFI,2023-03-17T20:29:36Z,s1e-lwWIxFI,https://www.youtube.com/watch?v=s1e-lwWIxFI
【LNG】2023FEB 劣質染髮Turtle G 大戰白龍西薩餅,audio_files/QSOjzrKnSYM,2023-02-26T00:10:35Z,QSOjzrKnSYM,https://www.youtube.com/watch?v=QSOjzrKnSYM
【LNG】2023JAN 蟾蜍山的拔剌粉只要五十塊鵝乙,audio_files/KYjiFC2SHwA,2023-01-29T05:09:32Z,KYjiFC2SHwA,https://www.youtube.com/watch?v=KYjiFC2SHwA
【LNG】2022DEC GDWSLLHH,audio_files/H2L8my3PtAw,2022-12-18T18:33:22Z,H2L8my3PtAw,https://www.youtube.com/watch?v=H2L8my3PtAw
【LNG】2022NOV B43Q的戰鬥還在繼續，鳥屎不在,audio_files/xVNkbLI2l5g,2022-11-13T18:43:40Z,xVNkbLI2l5g,https://www.youtube.com/watch?v=xVNkbLI2l5g
【LNG】2022OCT 展邱喝蟑螂奶之後屎來則靈我們會以他為榮,audio_files/mNQwt3nntT4,2022-10-15T22:37:55Z,mNQwt3nntT4,https://www.youtube.com/watch?v=mNQwt3nntT4
【LNG】2022SEP 大家好我是Pato哥哥住在健身社區CBD給我把維他命吃下去龍崎區魯夫,audio_files/bsr4NmSTYVw,2022-09-17T20:41:47Z,bsr4NmSTYVw,https://www.youtube.com/watch?v=bsr4NmSTYVw
【LNG】2022AUG 爪爪爪爪爪,audio_files/olFIAEvUF5s,2022-08-06T19:50:40Z,olFIAEvUF5s,https://www.youtube.com/watch?v=olFIAEvUF5s
【LNG】2022JUL 完兒啦芭比Q with your friend 啦,audio_files/5fo4PC8aIao,2022-07-10T05:55:18Z,5fo4PC8aIao,https://www.youtube.com/watch?v=5fo4PC8aIao
【LNG】2022JUN 鹹豬肉鹹豬肉燦燦燦,audio_files/O-uRg7HDsS4,2022-07-02T03:17:07Z,O-uRg7HDsS4,https://www.youtube.com/watch?v=O-uRg7HDsS4
